code,condition
2711a,NEU
2711b,NEU
2711c,NEU
2711d,NEU
2711f,NEU
2711g,NEU
2711h,NEU
2711i,NEU
2811c,ANG
2811d,ANG
2811e,ANG
2811f,ANG
2811g,ANG
2911e,HOP
2911f,HOP
2911g,HOP
2911h,HOP
2911i,HOP
3011a,ANG
3011b,ANG
3011c,ANG
3011d,ANG
3011e,ANG
3011f,ANG
3011g,ANG
3011h,ANG
3011i,ANG
0212b,HOP
0212c,HOP
0212d,HOP
0212e,HOP
0212f,HOP
0212g,HOP
0212h,HOP
0212i,HOP
0312a,HOP
0312c,NEU
0312d,NEU
0312e,NEU
0312f,NEU
0312g,NEU
0312h,NEU
0412a,HOP
0412b,HOP
0412c,HOP
0412d,HOP
0412e,HOP
0412f,HOP
0412g,HOP
0412h,HOP
0412i,HOP
0512a,NEU
0512b,NEU
0512c,NEU
0512d,NEU
0512f,NEU
0512g,NEU
0612e,ANG
0612f,ANG
0612g,ANG
0612h,ANG
0612i,ANG
0712b,NEU
0712c,HOP
0712d,NEU
0712f,HOP
0712g,NEU
0712h,NEU
0712i,NEU
0812a,NEU
0812d,NEU
0812e,NEU
0812f,NEU
0812g,NEU
0812h,NEU
0812i,NEU
0812j,NEU
0812k,NEU
0912b,ANG
0912c,ANG
0912d,ANG
0912e,ANG
0912f,ANG
0912g,ANG
0912h,ANG
1012b,HOP
1012c,HOP
1012d,HOP
1012e,HOP
1012f,HOP
1012g,NEU
1012h,NEU
1012i,HOP
1112a,ANG
1112b,ANG
1112c,ANG
1112d,ANG
1112e,ANG
1112f,ANG
1112g,ANG
1112h,ANG
1112i,ANG
1212b,HOP
1212c,HOP
1212d,HOP
1212e,HOP
1212f,HOP
1212g,HOP
1312b,ANG
1312c,ANG
1312d,ANG
1312h,ANG
1312i,ANG
1412a,ANG
1412b,ANG
1412d,HOP
1412e,HOP
1412g,HOP
1412h,HOP
1412i,HOP
1512a,NEU
1512b,NEU
1512c,NEU
1512d,NEU
1512e,NEU
1512f,NEU
1512g,NEU
1512h,NEU
1512i,NEU
1612b,ANG
1612c,NEU
1612e,ANG
1612f,HOP
1612g,NEU
1612h,NEU
1612i,ANG
1712c,HOP
1712d,HOP
1712e,HOP
1712f,HOP
1712g,HOP
1712h,ANG
1712i,ANG
1812a,ANG
1812b,ANG
1812c,HOP
1812d,HOP
1812e,ANG
1812h,ANG
1812i,ANG
1912a,HOP
1912d,ANG
1912g,NEU
2012d,ANG
2012e,NEU
2012f,NEU
2012h,HOP
2012i,HOP
2112b,NEU
2112c,HOP
